province;red;green;blue;x;x
1;128;34;64;Stockholm;x
2;0;36;128;Östergötland;x
3;128;38;192;Småland;x
4;0;40;255;Bergslagen;x
5;128;42;0;Värmland;x
6;0;44;64;Skåne;x
7;129;46;128;Västergötland;x
8;1;48;192;Dalaskogen;x
9;129;50;255;Hälsingland;x
10;1;52;0;Jämtland;x
11;129;54;64;Västerbotten;x
12;1;56;128;Sjælland;x
13;129;58;192;Slesvig;x
14;2;60;255;Fyn;x
15;130;62;0;Midtjylland;x
16;2;64;64;Bohuslän;x
17;130;66;128;Akershus;x
18;2;68;192;Lappland;x
19;130;70;255;Österbotten;x
20;2;72;0;Trøndelag;x
21;131;74;64;Hålogaland;x
22;3;76;128;Eidsiva;x
23;131;78;192;Bergenshus;x
24;3;80;255;Agder;x
25;131;82;0;Gotland;x
26;3;84;64;Halland;x
27;131;86;128;Finland;x
28;4;88;192;Nyland;x
29;132;90;255;Tavastland;x
30;4;92;0;Viborg;x
31;132;94;64;Savolax;x
32;4;96;128;Kexholm;x
33;132;98;192;Neva;x
34;4;100;255;Ingermanland;x
35;133;102;0;Ösel;x
36;5;104;64;Estland;x
37;133;106;128;Livland;x
38;5;108;192;Riga;x
39;133;110;255;Kurland;x
40;5;112;0;Memel;x
41;133;114;64;Ostpreussen;x
42;6;116;128;Warmia;x
43;134;118;192;Danzig;x
44;6;120;255;Hamburg;x
45;134;122;0;Lübeck;x
46;6;124;64;Mecklenburg;x
47;134;126;128;Stralsund;x
48;6;128;192;Kolberg;x
49;135;130;255;Neumark;x
50;7;132;0;Berlin;x
51;135;134;64;Ruppin;x
52;7;136;128;Magdeburg;x
53;135;138;192;Lüneburg;x
54;7;140;255;Bremen;x
55;135;142;0;Oldenburg;x
56;8;144;64;Osnabrück;x
57;136;146;128;Hannover;x
58;8;148;192;Anhalt;x
59;136;150;255;Meissen;x
60;8;152;0;Lausitz;x
61;136;154;64;Dresden;x
62;8;156;128;Leipzig;x
63;137;158;192;Erfurt;x
64;9;32;255;Niederbayern;x
65;137;34;0;München;x
66;9;36;64;Bamberg;x
67;137;38;128;Franken;x
68;9;40;192;Memmingen;x
69;137;42;255;Konstanz;x
70;10;44;0;Württemberg;x
71;138;46;64;Leiningen;x
72;10;48;128;Breisgau;x
73;138;50;192;Tirol;x
74;10;52;255;Baden;x
75;138;54;0;Elsass;x
76;10;56;64;Salzburg;x
77;139;58;128;Worms;x
78;11;60;192;Pfalz;x
79;139;62;255;Würzburg;x
80;11;64;0;Trier;x
81;139;66;64;Hessen;x
82;11;68;128;Lippe;x
83;139;70;192;Nassau;x
84;12;72;255;Berg;x
85;140;74;0;Köln;x
86;12;76;64;Münster;x
87;140;78;128;Calais;x
88;12;80;192;Artois;x
89;140;82;255;Picardie;x
90;12;84;0;Vlaanderen;x
91;141;86;64;Hainault;x
92;13;88;128;Brabant;x
93;141;90;192;Liège;x
94;13;92;255;Luxemburg;x
95;141;94;0;Noord;x
96;13;96;64;Zeeland;x
97;141;98;128;Holland;x
98;14;100;192;Utrecht;x
99;142;102;255;Gelre;x
100;14;104;0;Friesland;x
101;142;106;64;Liguria;x
102;14;108;128;Nice;x
103;85;80;32;Niklas;x
104;14;112;255;Lombardia;x
105;143;114;0;Parma;x
106;15;116;64;Modena;x
107;143;118;128;Brescia;x
108;15;120;192;Verona;x
109;143;122;255;Mantua;x
110;15;124;0;Trent;x
111;143;126;64;Friuli;x
112;16;128;128;Venezia;x
113;144;130;192;Ferrara;x
114;16;132;255;Romagna;x
115;144;134;0;Pisa;x
116;16;136;64;Firenze;x
117;144;138;128;Siena;x
118;16;140;192;Roma;x
119;145;142;255;Ancona;x
120;17;144;0;Abbruzzi;x
121;145;146;64;Napoli;x
122;17;148;128;Apulia;x
123;145;150;192;Calabria;x
124;17;152;255;Messina;x
125;145;154;0;Palermo;x
126;18;156;64;Malta;x
127;146;158;128;Sardinia;x
128;18;32;192;Kärnten;x
129;146;34;255;Krain;x
130;18;36;0;Istria;x
131;146;38;64;Croatia;x
132;18;40;128;Steiermark;x
133;147;42;192;Linz;x
134;19;44;255;Wien;x
135;147;46;0;Sopron;x
136;19;48;64;Dalmatia;x
137;147;50;128;Ragusa;x
138;19;52;192;Zeta;x
139;147;54;255;Hum;x
140;20;56;0;Bosnia;x
141;148;58;64;Serbia;x
142;20;60;128;Corfu;x
143;148;62;192;Albania;x
144;20;64;255;Janina;x
145;148;66;0;Morea;x
146;20;68;64;Athens;x
147;149;70;128;Salonica;x
148;21;72;192;Macedonia;x
149;149;74;255;Edirne;x
150;21;76;0;Bulgaria;x
151;149;78;64;Thrace;x
152;21;80;128;Slavonia;x
153;149;82;192;Pecs;x
154;22;84;255;Ersekujvar;x
155;150;86;0;Szolnok;x
156;22;88;64;Banat;x
157;150;90;128;Partium;x
158;22;92;192;Transylvania;x
159;150;94;255;Silistria;x
160;22;96;0;Oltenia;x
161;151;98;64;Wallachia;x
162;23;100;128;Carpathia;x
163;151;102;192;Crete;x
164;23;104;255;Naxos;x
165;151;106;0;Bern;x
166;23;108;64;Schwyz;x
167;151;110;128;Caux;x
168;24;112;192;Normandie;x
169;152;114;255;Armor;x
170;24;116;0;Finistère;x
171;152;118;64;Morbihan;x
172;24;120;128;Vendée;x
173;152;122;192;Labourd;x
174;24;124;255;Gascogne;x
175;153;126;0;Armagnac;x
176;25;128;64;Béarn;x
177;153;130;128;Maine;x
178;25;132;192;Anjou;x
179;153;134;255;Berry;x
180;25;136;0;Poitou;x
181;153;138;64;Valenciennes;x
182;26;140;128;Vermandois;x
183;154;142;192;Île-de-France;x
184;26;144;255;Orléannais;x
185;154;146;0;Nemours;x
186;26;148;64;Champagne;x
187;154;150;128;Barrois;x
188;26;152;192;Metz;x
189;155;154;255;Lothringen;x
190;27;156;0;Bourbon;x
191;155;158;64;Nevers;x
192;27;32;128;Bourgogne;x
193;155;34;192;Franche-Comté;x
194;27;36;255;Périgord;x
195;155;38;0;Limousin;x
196;28;40;64;Toulouse;x
197;156;42;128;Roussillon;x
198;28;44;192;Rouergue;x
199;156;46;255;Auvergne;x
200;28;248;0;Languedoc;x
201;156;50;64;Toulon;x
202;28;52;128;Avignon;x
203;157;54;192;Lyonnais;x
204;29;56;255;Dauphiné;x
205;157;58;0;Savoie;x
206;29;60;64;Galicia;x
207;157;62;128;Asturias;x
208;29;64;192;León;x
209;157;66;255;Vizcaya;x
210;30;68;0;Navarra;x
211;158;70;64;Pirineo;x
212;30;72;128;Girona;x
213;158;74;192;Barcelona;x
214;30;76;255;Zaragoza;x
215;158;78;0;Castilla La Vieja;x
216;30;80;64;Salamanca;x
217;159;82;128;Madrid;x
218;31;84;192;Badajoz;x
219;159;86;255;Toledo;x
220;31;88;0;València;x
221;159;90;64;Murcia;x
222;31;92;128;Almería;x
223;159;94;192;Granada;x
224;32;96;255;Andalucía;x
225;160;98;0;Córdoba;x
226;32;100;64;Gibraltar;x
227;160;102;128;Lisboa;x
228;32;104;192;Beira;x
229;160;106;255;Alentejo;x
230;32;108;0;Algarve;x
231;161;110;64;Porto;x
232;33;112;128;Bragança;x
233;161;114;192;Cornwall;x
234;33;116;255;Wessex;x
235;161;118;0;Kent;x
236;33;120;64;London;x
237;161;122;128;Oxfordshire;x
238;34;124;192;Essex;x
239;162;126;255;Gloucestershire;x
240;34;128;0;Marches;x
241;162;130;64;Glamorgan;x
242;34;132;128;Gwynedd;x
243;162;134;192;Lincoln;x
244;34;136;255;Lancashire;x
245;163;138;0;Yorkshire;x
246;35;140;64;Northumberland;x
247;163;142;128;Cumbria;x
248;35;144;192;Lothian;x
249;163;146;255;Ayrshire;x
250;35;148;0;Fife;x
251;163;150;64;Aberdeen;x
252;36;152;128;Highlands;x
253;164;154;192;Western Isles;x
254;36;156;255;Poznan;x
255;164;158;0;Kalisz;x
256;36;32;64;Plock;x
257;164;34;128;Mazovia;x
258;36;36;192;Lodz;x
259;165;38;255;Sandomir;x
260;37;40;0;Galicien;x
261;165;42;64;Halicz;x
262;37;44;128;Krakow;x
263;165;46;192;Ratibor;x
264;37;48;255;Breslau;x
265;165;50;0;Moravia;x
266;38;52;64;Bohemia;x
267;166;54;128;Plsen;x
268;38;56;192;Bessarabia;x
269;166;58;255;Podlasia;x
270;38;60;0;Troki;x
271;166;62;64;Samogitia;x
272;38;64;128;Lithuania;x
273;167;66;192;Wenden;x
274;39;68;255;Pskov;x
275;167;70;0;Polotsk;x
276;39;72;64;Minsk;x
277;167;74;128;Grodno;x
278;39;76;192;Polesia;x
279;167;78;255;Volhynia;x
280;40;80;0;Kiev;x
281;168;82;64;Podolia;x
282;40;84;128;Yedisan;x
283;168;86;192;Zaporozhia;x
284;40;88;255;Crimea;x
285;168;90;0;Kaffa;x
286;40;92;64;Azow;x
287;169;94;128;Kouban;x
288;41;96;192;Cherkassk;x
289;169;98;255;Chernigov;x
290;41;100;0;Poltava;x
291;169;102;64;Kharkov;x
292;41;104;128;Mogilyov;x
293;169;106;192;Smolensk;x
294;42;108;255;Tver;x
295;170;110;0;Moskva;x
296;42;112;64;Kaluga;x
297;170;114;128;Bryansk;x
298;42;116;192;Kursk;x
299;170;118;255;Voronezh;x
300;42;120;0;Tula;x
301;171;122;64;Ryazan;x
302;43;124;128;Tambow;x
303;171;126;192;Saratow;x
304;43;128;255;Pensa;x
305;171;130;0;Perm;x
306;43;132;64;Nijni-Novgorod;x
307;171;134;128;Vladimir;x
308;44;136;192;Yaroslavl;x
309;172;138;255;Olonets;x
310;44;140;0;Novgorod;x
311;172;142;64;Kholm;x
312;44;144;128;Vologda;x
313;172;146;192;Archangelsk;x
314;44;148;255;Ustyug;x
315;173;150;0;Finnmark;x
316;45;152;64;Kocaeli;x
317;173;154;128;Hüdavendigar;x
318;45;156;192;Sugla;x
319;173;158;255;Mentese;x
320;45;32;0;Rhodes;x
321;173;34;64;Cyprus;x
322;46;36;128;Kütahya;x
323;174;38;192;Konya;x
324;46;40;255;Karaman;x
325;174;42;0;Kastamonu;x
326;46;44;64;Ankara;x
327;174;46;128;Adana;x
328;46;48;192;Sinop;x
329;175;50;255;Sivas;x
330;47;52;0;Trebizond;x
331;175;54;64;Erzurum;x
332;47;56;128;Marash;x
333;175;58;192;The Baleares;x
334;47;60;255;Tangiers;x
335;175;62;0;Mellila;x
336;48;244;64;Tlemcen;x
337;176;66;128;Oran;x
338;48;68;192;Al-Djazair;x
339;176;70;255;Kabylia;x
340;48;72;0;Constantine;x
341;176;74;64;Tunis;x
342;48;76;128;Toubkhal;x
343;177;78;192;Fez;x
344;49;80;255;Marrakech;x
345;177;82;0;Safi;x
346;49;84;64;Figuig;x
347;177;86;128;Ifni;x
348;49;88;192;Sus;x
349;177;90;255;Atlas;x
350;50;92;0;Aures;x
351;178;94;64;Biskra;x
352;50;96;128;Gafsa;x
353;178;98;192;Tataouine;x
354;50;100;255;Tripolitania;x
355;178;102;0;Sirt;x
356;50;104;64;Cyrenaica;x
357;179;106;128;Darnah;x
358;51;108;192;Alexandria;x
359;179;110;255;Faiyum;x
360;51;112;0;Qena;x
361;179;114;64;Cairo;x
362;51;116;128;Rosetta;x
363;179;118;192;Damietta;x
364;52;120;255;Gaza;x
365;180;122;0;Sinai;x
366;52;124;64;The Canarias;x
367;180;126;128;The Azores;x
368;52;128;192;Madeira;x
369;180;130;255;Orkney;x
370;52;132;0;Reykjavik;x
371;181;134;64;Akureyri;x
372;53;136;128;Ulster;x
373;181;138;192;Meath;x
374;53;140;255;Leinster;x
375;181;142;0;Munster;x
376;53;144;64;Connaught;x
377;181;146;128;Aleppo;x
378;54;148;192;Tripoli;x
379;182;150;255;Jerusalem;x
380;54;152;0;Al Karak;x
381;182;154;64;Ajlun;x
382;54;156;128;Damascus;x
383;182;158;192;Tabuk;x
384;54;32;255;Medina;x
385;183;34;0;Mecca;x
386;55;36;64;Asir;x
387;183;38;128;Mokha;x
388;55;40;192;Aden;x
389;183;42;255;Kinda;x
390;55;44;0;Sana'a;x
391;183;46;64;Najran;x
392;56;48;128;Al-Arid;x
393;184;50;192;Jabal Shammar;x
394;56;52;255;El Catif;x
395;184;54;0;Qatar;x
396;56;56;64;Bahrain;x
397;184;58;128;Bani Yas;x
398;56;60;192;Qawasim;x
399;185;62;255;Suhar;x
400;57;64;0;Muscat;x
401;185;66;64;Dhofar;x
402;57;68;128;Mahra;x
403;185;70;192;Nizwa;x
404;57;72;255;Liwa;x
405;185;74;0;Tadmor;x
406;58;76;64;As Sahiliyah;x
407;186;78;128;Ar Raqqa;x
408;58;80;192;Basra;x
409;186;82;255;Hillah;x
410;58;84;0;Baghdad;x
411;186;86;64;Mosul;x
412;58;88;128;Khuzestan;x
413;187;90;192;Lorestan;x
414;59;92;255;Hamadan;x
415;187;94;0;Shahrizor;x
416;59;96;64;Azerbaijan;x
417;187;98;128;Gilan;x
418;59;100;192;Diyarbakir;x
419;187;102;255;Yerevan;x
420;60;140;0;Ganja;x
421;68;27;0;Shirvan;x
422;60;108;128;Imereti;x
423;188;110;192;Kartli;x
424;60;112;255;Ardabil;x
425;188;114;0;Dagestan;x
426;60;116;64;Mazandaran;x
427;189;118;128;Shahrud;x
428;61;120;192;Rey;x
429;189;122;255;Isfahan;x
430;61;124;0;Bushehr;x
431;189;126;64;Hormuz;x
432;61;128;128;Kerman;x
433;189;130;192;Dash-i-Lut;x
434;62;132;255;Quhistan;x
435;190;134;0;Sistan;x
436;62;136;64;Birjand;x
437;190;138;128;Atak;x
438;62;140;192;Kara Kum;x
439;190;142;255;Mangyshlak;x
440;62;144;0;Qaraqalpak;x
441;191;146;64;Khiva;x
442;63;148;128;Bukhara;x
443;191;150;192;Ust Yurt;x
444;63;152;255;Charjuy;x
445;191;154;0;Marv;x
446;63;156;64;Herat;x
447;191;158;128;Kandahar;x
448;64;32;192;Gazni;x
449;192;34;255;Ghor;x
450;64;36;0;Balkh;x
451;192;38;64;Kabul;x
452;64;40;128;Badakhshan;x
453;192;42;192;Qarshi;x
454;64;44;255;Samarkand;x
455;193;46;0;Kyrzyl-Kum;x
456;65;48;64;Turkestan;x
457;193;50;128;Tashkent;x
458;65;52;192;Kokand;x
459;193;54;255;Taraz;x
460;65;56;0;Uzkend;x
461;193;58;64;Zhetysu;x
462;66;60;128;Mingrelia;x
463;194;62;192;Circassia;x
